Address|ProjectDescription|PermitNumber
7878 GRANVILLE STREET, Vancouver, BC V6P 4Z2|"Certified Professional Program - New Building - To construct a 4-storey wood-framed 19 dwelling unit residential building over 1 level of underground storage garage having access from a lane. 
STAGED CONSTRUCTION

This is a CP Permit Process for Cecilia Chung, CP (Camphora Engineering) @ 604= 800-9822   email: ccheung@camphora.ca  

** NOTE: EFFECTIVE JUNE 15, 2018, SUSANA CHUI (Camphora Engineering) TOOK OVER AS CP ON THIS APPLICATION **

Stage 1: Excavation & Shoring. Oct. 19, 2018 (B. Smith)
Revision #1 (Submitted Nov. 14, 2018), Revision to Shoring Design Drawings:
1. Shotcrete wall on the West side has been moved on the City property (G-S1 & G-S6).
2. Shotcrete wall on the East side has been moved on the City property (G-S1 & G-S4).
3. Additional reinforcement for pump trucks was added (G-S1, G-S6, & G-S7). 
4. 6"" underpinning wall is used on North side (G-S1 & G-s3)

Stage 2: Full Structural to roof. Jan. 23/19, B. Smith 
Stage 3: Full Construction. Jan. 24/19, B. Smith
 REVISION #2 (Aug. 12, 2020. B. Smith): As per a related DP minor amendment to DP-2016-00292 the entry path to unit 104 has changed, the overall height of the building has increased by 4"", and add a retaining wall & planting along the South property line."|BP-2017-05753
7587 YUKON STREET, Vancouver, BC V5X 2Y4|"Certified Professional Program - New Building - To construct a 4 storey multiple dwelling building (NE building) containing 8 units.  (3 single storey units on first level and 5 three storey units above).

Refer to BP-2018-03263 for site work, below grade facilities and common underground parking.

STAGED CONSTRUCTION
Stage 1 - Excavation & Shoring (issued Feb. 4, 2019)
Stage 2 - Full Structure (issued Mar. 18, 2019)
Stage 3 - Full Construction (issued Sept. 19, 2019)"|BP-2019-00102
7613 YUKON STREET, Vancouver, BC V5X 2Y4|"Certified Professional Program - New Building - To construct a 4 storey multiple dwelling building (SW building) containing 7 units.  (2 single storey units on first level and 5 three storey units above).

Refer to BP-2018-03263 for site work, below grade facilities and common underground parking.

STAGED CONSTRUCTION
Stage 1 - Excavation & Shoring (issued Feb. 4, 2019)
Stage 2 - Full Structure (issued Mar. 18, 2019)
Stage 3 - Full Construction (issued Sept. 19, 2019)"|BP-2019-00105
529 E 6TH AVENUE, Vancouver, BC V5T 1K9|"Certified Professional Program - New Building - This permit is for all site works and below grade facilities including construction of a new below grade single level vehicle storage garage w/bike storage room and residential storage locker room, service rooms, and a garbage/recycling room, all having access from a Lane. Separate related Permits will be issued for the construction of two 4 storey residential building clusters, all on top of the underground parkade in this building. NOTE: A generic AL was accepted on 2019-10-29 for exit exposure protection.

Related Permits:
BP-2018-02006: 541 E 6th Av. South (front) building on this site.
BP-2018-02007: 531 E 6th Av. North (rear) building on this site.

This is a CP Process Permit application for Cecilia Cheung, CP (Camphora Engineering) *** EFFECTIVE JUNE 15, 2018, SUSANA CHUI (CAMPHORA ENGINEERING) TOOK OVER AS CP.

Stage 1: Excavation & Shoring. Dec. 7, 2018. B. Smith
Stage 2: Full structural to roof including below grade storage garage. 
Sept. 16, 2019. B. Smith
REVISION #1: Changes to the Excavation & Shoring drawings for the South & West walls. Soldier pipe piles and shot-crete added to East wall to support the excavation (no tie back anchors have been used).At the South wall the sloped excavation at the top portion of the shoring wall has been reduced to small portions on the East and West edges of the South wall. The middle portion of the South wall has been changed to fully shot-crete shoring wall. (Sept. 24/19, B. Smith) 

STAGE 3: Full Construction. Oct. 5, 2020, B. Smith"|BP-2018-00326
344 W 16TH AVENUE, Vancouver, BC V5Y 1Y9|"High Density Housing / Commercial - New Building - To construct a new 3-storey multiple dwelling containing five (5) dwelling unit with three (3) surface parking spaces at the rear of the site with vehicular access from the lane.

Note:
1. The building is a two-and-a-half (2.5) storey plus basement per the development permit.
2. All 5 dwelling units have direct exterior entrance. 

Revision-1 February 25, 2022
Updated the landscaping drawing

Revision-2  October 4, 2022
1- Revised roof assembly components
2- Conglomerate some adjacent windows 
3- Replaced fire listed windows with standard windows protected with sprinkler water curtain per VBBL 3.2.3.13.(5)
4. Some windows are removed
5. Front entrance doors doors of unit 1 and unit 2 is modified
6- Fire department connection is relocated
7. Some interior bypass closet doors are replaced with swing type doors
8. layout of kitchens in unit 1 and unit 2 is modified
9. attic access hatches are identified on the drawings
10. Skylights added
11. Some interior wall types were modified and new roof assembly added"|BP-2021-01847
7305 HUDSON STREET, Vancouver, BC V6P 4L1|"Certified Professional Program - New Building - To construct an infill three-family dwelling (Building 2) at the rear of this site on Lot B.

Refer to Building Permit for BP-2020-01200 for the heritage building (Bldg 1). 

VBBL 2019 - Reviewed during the 2020 pandemic crisis."|BP-2021-00128
1181 CARDERO STREET, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - To construct a new mixed-use development consisting of two residential towers  21 storey and 23 storey  containing 330 dwelling units (all secured market rental on levels 3 to 23), and an urban agricultural roof at Level 24 (East Tower)  all over a commercial podium consisting of a Liquor Store, Bank, Restaurant ( max. OL=60 people), and a Grocery Store. 

All over  two levels of below-grade parking.

13-Dec-2017 - Stage 1 (Excavation and Shoring) issued .
20-Apr-2018 - Stage 2 ( Full Structural) issued.
10-Aug-2018 - Stage 3 (Full Construction) issued.

Note:  The Stage 1 & Stage 2 and entire  BP application documentation and related Alternative Solutions were accepted under 1661 Davie St. address.

Rev#2 - 28-Oct-2020
Revised addressing plans: 
 -No address for gym amenity space on levels 3/4. Units numbers at L3 and L4 changed.
-No address for managers office on level 4.
-Dwelling units on level 4 start at “401”.
New Address Permit Notification  distributed."|BP-2017-00538
6668 FRASER STREET, Vancouver, BC V5X 3T5|"Certified Professional Program - New Building - To construct 3 storey mixed use commercial building with office on the ground floor and residential on the second and third floors.  There is parking on the first floor facing the lane. The building will be sprinklered and provided with a monitored fire alarm system.

*For Stage 1 - Excavation only issued on May 19, 2017. 
*For Stage 2 - Foundation work only issued on July 14, 2017.
*For Stage 3 - Structure only issued on Sept. 18, 2017.
*For Stage 4 - Full Construction issued on June 29, 2018.

**A change in CP from Richard Lau to Susana Chui from Camphora Engineering effective Thursday, July 12, 2018.

Revision #1 - Project description and use changed from retail to office occupancy for the ground floor, July 17, 2019."|BP-2016-04168
5399 JOYCE STREET, Vancouver, BC V5R 4H3|"Certified Professional Program - New Building - To construct a six storey multiple dwelling, containing a total of 46 dwelling units, all over 2 levels of underground parking providing a total of 51 parking spaces having vehicular access lane.

This permit has been reviewed under the 2019 Vancouver Building By-law (#12511).  Building to be sprinklered to NFPA 13 requirements. 

STAGED CONSTRUCTION
Stage 1 - Excavation and Shoring - issued January 28, 2022
Stage 2 - Foundation to Grade - issued March 16, 2022"|BP-2021-00636
950 MAIN STREET, Vancouver, BC V6A 2W1|"Certified Professional Program - New Building - Construction of a new 6 storey, 18,549 square foot concrete and wood framed social housing project consisting of 26 units with proposed CRU space on the main floor level, including a full basement for tenant and owner storage.

SHORT Program - VBBL 2014

Stage 1: Soil remediation, erosion sediment control, excavation with shoring & underpinning - Dec. 11, 2017.

Stage 2: Full Structure (structural only) - Sept. 19th, 2018.

Rev #1 - Feb. 28, 2020 - Incorrect process, it should be a Stage permit.  

Stage 3: Full Construction issued on Feb. 28, 2020. (All review groups were cleared under Rev. #1 for this Stage 3.)"|BP-2017-04840
2373 W 7TH AVENUE, Vancouver, BC V6K 1Y4|"High Density Housing / Commercial - New Building - Building Permit for DP-2019-00184 & Minor Amendment DP-2020-00632

To construct a three-storey multi-dwelling building containing 3 dwelling units ($1,459,600), over 1 level of underground parking providing a total of 3 parking spaces having vehicular access from W 7th Avenue. 

Building envelope and environmental separation as per Part 5 design: 
Schedule A, Kenneth Kim, AIBC (778.379.8908); 
Schedule B (Architectural) Kenneth Kim, AIBC (778.379.8908); 
Schedule B (Structural), Min Park, P.Eng (778.836.7221); 
Schedule B (Geotechnical), Joseph (Inseok) Oh, P.Eng (604.513.4190) and 
Schedule D (Commitment for Building Envelope Professional Review), Julio Reynel-Gracia, P.Eng (778.998.0709) provide for this project. 

Building Review Branch Notes:
1. Three-unit multi-dwelling building to be sprinklered to NFPA 13R
2. Structural has been designed to Part 4
3. SP-2021-01084
4. This permit has been reviewed under the requirements of the VBBL #12511 (2019)"|BP-2020-03990
8508 RIVERGRASS DRIVE, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - Building Permit for BP-2017-00958

Construction of 5-storey wood-frame residential building."|BP-2018-00854
3451 SAWMILL CRESCENT, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - Building Permit for BP-2016-03449 

To construct an 11-storey building."|BP-2018-00876
3996 DUMFRIES STREET, Vancouver, BC V5N 5R3|"Certified Professional Program - New Building - This permit has been issued for site work and all below grade facilities for the  proposed development:  

To construct a mixed use development  consisting of 5 buildings:

Building 1 - 3996 Dumfries St. BP-2021-01237
14 storey tower with  6 level podium, consisting of one Retail unit, Offices and 
123 strata residential units 

Building 2 ( TH 1 block )  3950 Dumfries St  - BP-2021-01238
15 townhomes

Building 3 ( TH 2 block)  3910 Dumfries St. - BP-2021-01239
12 townhomes

Building 4 ( TH 3  block) -  3969 Fleming St. - BP-2021-01240
5 townhomes 

Building 5 ( TH 4 block)  - 3979 Fleming St - BP-2021-01241
6 townhomes 

All over 3 levels of underground parking. 

Total number of dwelling units on this site is 161 strata units.
  
All fees for the entire development on this site applied against this permit.


18-Nov-2021 - Stage 1 - Rev#1 - issued 
To add additional P3 level, changes to P2, P1, Level 1 and 2 as proposed under DP-2021-00703.
Revised excavation and shoring drawings provided.  

15-Aug-2022 - Revision#2 
Clarifications on the floor assembly within Building 2 (TH1 Block) and Building 3 (TH2 Block). Refer to Staged Construction drawings list for revised  drawings.  

21-July-2021 -Stage 1 (excavation and shoring) issued.
19-Nov-2021 - Stage 2 (full structure)  issued
21-Apr-2022 - Stage 3 (full permit) issued."|BP-2020-01943
7557 OAK STREET, Vancouver, BC V6P 4A4|"Certified Professional Program - New Building - This Permit has been issued for the site work and below grade facilities for the proposed development: 
To construct five (5) Multiple Dwellings Residential buildings on this site  with a total of 31 dwelling units (Strata):
Building 1 (3 storey)   -  6 dwelling units
Building 2  (3 storey)  - 4 dwelling units
Building 3 ( 3 storey)  - 8 dwelling units
Building 4 ( 3 storey)  - 8 dwelling units
Building 5 ( 2 storey)  - 5 dwelling units 

Note: The construction of Building 5 is permitted under this BP.

All over one level of underground parking, having vehicular access from the lane. 
This Permit is issued under VBBL 2014 and during  the COVID-19 Pandemic.
All fees for the entire development on this site applied against this permit.

18 -Sept-2020 - Stage I (Excavation and Shoring) issued.

26-Jan-2021-    Stage 2 (Full Structural) issued. 
10-Nov-2021- Stage 3 (Full Construction) issued. 

BP Revisions 
03- Dec-2020  - Rev#1 - Stage 1 (Revised shoring design along east 
                                              wall) issued.
27-Sep-2022 - Rev#2 
Effective 17-Jun-2022 change of Electrical Engineer of Record to Mr. Abelito Camacho, P. Eng."|BP-2019-04362
